Symbol,ltp,%Change,Open,High,Low,Qty,PClose,Diff
NESDO,"1,307.90",1.15,"1,310.00","1,310.00","1,290.10",627,"1,293.00",14.9
NFS,525.00,0,525.00,528.80,520.00,"3,136",525.00,0
NGPL,388.00,-1.52,397.00,397.00,387.10,"123,903",394.00,-6
NHDL,633.00,0.64,616.00,633.00,616.00,90,629.00,4
NHPC,254.00,-0.74,254.90,257.50,252.60,"92,558",255.90,-1.9
NIBLGF,8.36,-2.79,8.60,8.60,8.36,200,8.60,-0.24
NIBLSTF,8.30,0.97,8.01,8.30,8.01,450,8.22,0.08
NIBSF2,8.35,0.24,8.35,8.40,8.35,600,8.33,0.02
NICA,309.50,0.49,308.00,310.00,307.00,"26,480",308.00,1.5
NICAD85/86,"1,120.00",0,"1,120.00","1,120.00","1,120.00",340,"1,120.00",0
NICBF,8.72,0.35,8.95,8.95,8.72,"20,000",8.69,0.03
NICD88,"1,095.00",2.62,"1,099.00","1,099.00","1,095.00",50,"1,067.00",28
NICFC,8.72,-0.34,8.70,8.73,8.70,"2,500",8.75,-0.03
NICGF2,8.64,-0.69,8.50,8.90,8.50,"8,415",8.70,-0.06
NICL,420.00,-1.39,426.30,426.30,415.20,"7,318",425.90,-5.9
NICLBSL,515.00,-0.94,512.00,517.70,510.00,"7,262",519.90,-4.9
NICSF,8.31,-2.46,8.55,8.55,8.31,"2,037",8.52,-0.21
NIFRA,240.00,-0.41,241.00,242.10,239.40,"36,551",241.00,-1
NIL,520.00,-0.76,524.00,524.00,516.00,"10,455",524.00,-4
NIMB,182.00,-0.55,183.00,184.00,181.00,"90,898",183.00,-1
NLG,494.00,0.71,505.00,505.00,485.00,"6,165",490.50,3.5
NLIC,696.00,0.14,695.00,700.00,695.00,"7,257",695.00,1
NLICL,550.00,-0.31,553.00,560.90,550.00,"5,530",551.70,-1.7
NMB,238.50,-0.46,239.00,240.90,238.10,"26,122",239.60,-1.1
NMBD89/90,"1,259.60",2.99,"1,259.60","1,259.60","1,259.60",25,"1,223.00",36.6
NMBHF2,8.98,4.66,8.55,8.98,8.55,"1,700",8.58,0.4
NMBMF,580.00,0,580.00,580.00,580.00,230,580.00,0
NMBUR93/94,909.00,-3.4,915.00,915.00,907.10,80,941.00,-32
NMFBS,"1,112.00",1.31,"1,097.60","1,115.00","1,097.60","1,694","1,097.60",14.4
NMIC,777.00,-1.02,795.00,796.00,773.00,"3,494",785.00,-8
NMLBBL,484.00,0.52,475.60,485.00,475.00,817,481.50,2.5
NRIC,800.00,-0.74,830.00,830.00,795.20,"8,425",806.00,-6
NRM,285.20,0.49,285.00,292.10,282.00,"2,515",283.80,1.4
NRN,"1,391.00",-1.35,"1,400.00","1,408.00","1,380.10","38,921","1,410.00",-19
NSIF2,9.90,-1,10.00,10.00,9.81,"208,045",10.00,-0.1
